title,text,subject,date,label
" Former CIA Director Slams Trump Over UN Bullying, Openly Suggests He’s Acting Like A Dictator (TWEET)",many people have raised the alarm regarding the fact that donald trump is dangerously close to becoming an autocrat the thing is democracies become autocracies right under the people s noses because they can often look like democracies in the beginning phases this was explained by republican david frum just a couple of months into donald trump s presidency in a piece in the atlantic called how to build an autocracy in fact if you really look critically at what is happening right now the systematic discrediting of vital institutions such as the free press and the federal bureau of investigation as well the direct weaponization of the department of justice in order to go after trump s former political opponent 2016 democratic nominee hillary clinton and you have the makings of an autocracy we are more than well on our way further one chamber of congress the house of representatives already has a rogue band of republicans who are running a parallel investigation to the official russian collusion investigation with the explicit intent of undermining and discrediting the idea that trump could have possibly done anything wrong with the russians in order to swing the 2016 election in his favorall of that is just for starters too now we have trump making united nations ambassador nikki haley bully and threaten other countries in the united nations who voted against trump s decision to change us policy when it comes to recognition of jerusalem as the capital of the jewish state well one expert who is usually quite measured has had enough of trump s autocratic antics former cia director john o brennan the seasoned spy took to trump s favorite platform twitter and blasted the decisiontrump admin threat to retaliate against nations that exercise sovereign right in un to oppose us position on jerusalem is beyond outrageous shows realdonaldtrump expects blind loyalty and subservience from everyone qualities usually found in narcissistic vengeful autocrats john o brennan johnbrennan december 21 2017director brennan is correct of course trump is behaving just like an autocrat and so many people in the nation are asleep when it comes to this dangerous age in which the greatest threat to democracy and the very fabric of the republic itself is the american president fellow americans we know the gopled congress will not be the check on trump that they are supposed to be it s time to get out and flip the house and possibly the senate in 2018 and resist in the meantime if we want to save our country from devolving into something that looks more like russia or north korea than the america we have always know we re already well on our wayfeatured image via brendan smialowskiafpgetty images,News,"December 22, 2017",0
 Racist Alabama Cops Brutalize Black Boy While He Is In Handcuffs (GRAPHIC IMAGES),the number of cases of cops brutalizing and killing people of color seems to see no end now we have another case that needs to be shared far and wide an alabama woman by the name of angela williams shared a graphic photo of her son lying in a hospital bed with a beaten and fractured face on facebook it needs to be shared far and wide because this is unacceptableit is unclear why williams son was in police custody or what sort of altercation resulted in his arrest but when you see the photo you will realize that these details matter not cops are not supposed to beat and brutalize those in their custody in the post you are about to see ms williams expresses her hope that the cops had their body cameras on while they were beating her son but i think we all know that there will be some kind of convenient malfunction to explain away the lack of existence of dash or body camera footage of what was clearly a brutal beating hell it could even be described as attempted murder something tells me that this young man will never be the same without further ado here is what troy alabama s finest decided was appropriate treatment of angela williams sonno matter what the perceived crime of this young man might be this is completely unacceptable the cops who did this need to rot in jail for a long long time but what you wanna bet they get a paid vacation while the force investigates itself only to have the officers returned to duty posthastethis folks is why we say black lives matter no way in hell would this have happened if angela williams son had been white please share far and wide and stay tuned to addicting info for further updatesfeatured image via david mcnewstringergetty images,News,"December 25, 2017",0
U.S. military to accept transgender recruits on Monday: Pentagon,washington reuters transgender people will be allowed for the first time to enlist in the us military starting on monday as ordered by federal courts the pentagon said on friday after president donald trumps administration decided not to appeal rulings that blocked his transgender ban two federal appeals courts one in washington and one in virginia last week rejected the administrations request to put on hold orders by lower court judges requiring the military to begin accepting transgender recruits on jan 1 a justice department official said the administration will not challenge those rulings the department of defense has announced that it will be releasing an independent study of these issues in the coming weeks so rather than litigate this interim appeal before that occurs the administration has decided to wait for dods study and will continue to defend the presidents lawful authority in district court in the meantime the official said speaking on condition of anonymity in september the pentagon said it had created a panel of senior officials to study how to implement a directive by trump to prohibit transgender individuals from serving the defense department has until feb 21 to submit a plan to trump lawyers representing currentlyserving transgender service members and aspiring recruits said they had expected the administration to appeal the rulings to the conservativemajority supreme court but were hoping that would not happen pentagon spokeswoman heather babb said in a statement as mandated by court order the department of defense is prepared to begin accessing transgender applicants for military service jan 1 all applicants must meet all accession standards jennifer levi a lawyer with gay lesbian and transgender advocacy group glad called the decision not to appeal great news im hoping it means the government has come to see that there is no way to justify a ban and that its not good for the military or our country levi said both glad and the american civil liberties union represent plaintiffs in the lawsuits filed against the administration in a move that appealed to his hardline conservative supporters trump announced in july that he would prohibit transgender people from serving in the military reversing democratic president barack obamas policy of accepting them trump said on twitter at the time that the military cannot be burdened with the tremendous medical costs and disruption that transgender in the military would entail four federal judges in baltimore washington dc seattle and riverside california have issued rulings blocking trumps ban while legal challenges to the republican presidents policy proceed the judges said the ban would likely violate the right under the us constitution to equal protection under the law the pentagon on dec 8 issued guidelines to recruitment personnel in order to enlist transgender applicants by jan 1 the memo outlined medical requirements and specified how the applicants sex would be identified and even which undergarments they would wear the trump administration previously said in legal papers that the armed forces were not prepared to train thousands of personnel on the medical standards needed to process transgender applicants and might have to accept some individuals who are not medically fit for service the obama administration had set a deadline of july 1 2017 to begin accepting transgender recruits but trumps defense secretary james mattis postponed that date to jan 1 2018 which the presidents ban then put off indefinitely trump has taken other steps aimed at rolling back transgender rights in october his administration said a federal law banning genderbased workplace discrimination does not protect transgender employees reversing another obamaera position in february trump rescinded guidance issued by the obama administration saying that public schools should allow transgender students to use the restroom that corresponds to their gender identity,politicsNews,"December 29, 2017 ",1
 Trump Is So Obsessed He Even Has Obama’s Name Coded Into His Website (IMAGES),on christmas day donald trump announced that he would be back to work the following day but he is golfing for the fourth day in a row the former reality show star blasted former president barack obama for playing golf and now trump is on track to outpace the number of golf games his predecessor playedupdated my tracker of trump s appearances at trump properties71 rounds of golf including today s at this pace he ll pass obama s firstterm total by july 24 next year httpstcofg7vacxrtj pictwittercom5gemcjqtbh philip bump pbump december 29 2017 that makes what a washington post reporter discovered on trump s website really weird but everything about this administration is bizarre af the coding contained a reference to obama and golf unlike obama we are working to fix the problem and not on the golf course however the coding wasn t done correctlythe website of donald trump who has spent several days in a row at the golf course is coded to serve up the following message in the event of an internal server error httpstcozrwpymxrcz pictwittercomwiqsqnnzw0 christopher ingraham _cingraham december 28 2017that snippet of code appears to be on all httpstcodkhw0alhb4 pages which the footer says is paid for by the rnc pictwittercomoazdt126b3 christopher ingraham _cingraham december 28 2017it s also all over httpstcoayblgmk65z as others have noted in this thread this is weird code and it s not clear it would ever actually display but who knows christopher ingraham _cingraham december 28 2017after the coding was called out the reference to obama was deletedupdate the golf error message has been removed from the trump and gop websites they also fixed the javascript vs problem still not clear when these messages would actually display since the actual 404 and presumably 500 page displays a different message pictwittercomz7dmyq5smy christopher ingraham _cingraham december 29 2017that suggests someone at either rnc or the trump admin is sensitive enough to trump s golf problem to make this issue go away quickly once people noticed you have no idea how much i d love to see the email exchange that led us here christopher ingraham _cingraham december 29 2017 the code was fcked upthe best part about this is that they are using the assignment operator which means that bit of code will never get run if you look a few lines up errorcode will always be 404 tw1trsux december 28 2017trump s coders can t code nobody is surprised tim peterson timrpeterson december 28 2017donald trump is obsessed with obama that his name was even in the coding of his website while he played golf againphoto by joe raedlegetty images,News,"December 29, 2017",0
Trump on Twitter (Dec 28) - Global Warming,the following statements were posted to the verified twitter accounts of us president donald trump realdonaldtrump and potus the opinions expressed are his own reuters has not edited the statements or confirmed their accuracy realdonaldtrump together we are making america great again bitly2lnpkaq 1814 est in the east it could be the coldest new years eve on record perhaps we could use a little bit of that good old global warming that our country but not other countries was going to pay trillions of dollars to protect against bundle up 1901 est source link bitly2jbh4lu bitly2jpexyr,politicsNews,"December 29, 2017 ",1
"Trump says Russia probe will be fair, but timeline unclear: NYT",west palm beach fla reuters president donald trump said on thursday he believes he will be fairly treated in a special counsel investigation into russian meddling in the us presidential election but said he did not know how long the probe would last the federal investigation has hung over trumps white house since he took office almost a year ago and some trump allies have in recent weeks accused the team of justice department special counsel robert mueller of being biased against the republican president but in an interview with the new york times trump appeared to shrug off concerns about the investigation which was prompted by us intelligence agencies conclusion that russia tried to help trump defeat democrat hillary clinton by hacking and releasing embarrassing emails and disseminating propaganda theres been no collusion but i think hes going to be fair trump said in what the times described as a 30minute impromptu interview at his golf club in west palm beach florida mueller has charged four trump associates in his investigation russia has denied interfering in the us election us deputy attorney general rod rosenstein said this month that he was not aware of any impropriety by muellers team trumps lawyers have been saying for weeks that they had expected the mueller investigation to wrap up quickly possibly by the end of 2017 mueller has not commented on how long it will last trump told the times that he did not know how long the investigation would take timingwise i cant tell you i just dont know he said trump said he thought a prolonged probe makes the country look bad but said it has energized his core supporters what its done is its really angered the base and made the base stronger my base is strong than its ever been he said the interview was a rare break in trumps christmas vacation in florida he has golfed each day aside from christmas day and mainly kept a low profile apart from the occasional flurry of tweets he spent one day golfing with republican senator david perdue from georgia who has pushed legislation to cap immigration numbers and had dinner on thursday with commerce secretary wilbur ross an international trade hawk trump told the times he hoped to work with democrats in the us congress on a spending plan to fix roads and other infrastructure and on protections for a group of undocumented immigrants who were brought to the united states as children trump spoke about trade issues saying he had backed off his hard line on chinese trade practices in the hope that beijing would do more to pressure north korea to end its nuclear and missile testing program he said he had been disappointed in the results he also complained about the north american free trade agreement nafta which his administration is attempting to renegotiate in talks with mexico and canada trump said canadian prime minister justin trudeau had played down the importance of canadian oil and lumber exports to the united states when looking at the balance of trade between the two countries if i dont make the right deal ill terminate nafta in two seconds but were doing pretty good trump said,politicsNews,"December 29, 2017 ",1
FBI Russia probe helped by Australian diplomat tip-off: NYT,washington reuters trump campaign adviser george papadopoulos told an australian diplomat in may 2016 that russia had political dirt on democratic presidential candidate hillary clinton the new york times reported on saturday the conversation between papadopoulos and the diplomat alexander downer in london was a driving factor behind the fbis decision to open a counterintelligence investigation of moscows contacts with the trump campaign the times reported two months after the meeting australian officials passed the information that came from papadopoulos to their american counterparts when leaked democratic emails began appearing online according to the newspaper which cited four current and former us and foreign officials besides the information from the australians the probe by the federal bureau of investigation was also propelled by intelligence from other friendly governments including the british and dutch the times said papadopoulos a chicagobased international energy lawyer pleaded guilty on oct 30 to lying to fbi agents about contacts with people who claimed to have ties to top russian officials it was the first criminal charge alleging links between the trump campaign and russia the white house has played down the former aides campaign role saying it was extremely limited and that any actions he took would have been on his own the new york times however reported that papadopoulos helped set up a meeting between thencandidate donald trump and egyptian president abdel fattah alsisi and edited the outline of trumps first major foreign policy speech in april 2016 the federal investigation which is now being led by special counsel robert mueller has hung over trumps white house since he took office almost a year ago some trump allies have recently accused muellers team of being biased against the republican president lawyers for papadopoulos did not immediately respond to requests by reuters for comment muellers office declined to comment trumps white house attorney ty cobb declined to comment on the new york times report out of respect for the special counsel and his process we are not commenting on matters such as this he said in a statement mueller has charged four trump associates including papadopoulos in his investigation russia has denied interfering in the us election and trump has said there was no collusion between his campaign and moscow,politicsNews,"December 30, 2017 ",1
 Sheriff David Clarke Becomes An Internet Joke For Threatening To Poke People ‘In The Eye’,on friday it was revealed that former milwaukee sheriff david clarke who was being considered for homeland security secretary in donald trump s administration has an email scandal of his ownin january there was a brief runin on a plane between clarke and fellow passenger dan black who he later had detained by the police for no reason whatsoever except that maybe his feelings were hurt clarke messaged the police to stop black after he deplaned and now a search warrant has been executed by the fbi to see the exchangesclarke is calling it fake news even though copies of the search warrant are on the internet i am unintimidated by lib media attempts to smear and discredit me with their fake news reports designed to silence me the former sheriff tweeted i will continue to poke them in the eye with a sharp stick and bitch slap these scum bags til they get it i have been attacked by better people than them maga i am unintimidated by lib media attempts to smear and discredit me with their fake news reports designed to silence me i will continue to poke them in the eye with a sharp stick and bitch slap these scum bags til they get it i have been attacked by better people than them maga pictwittercomxtzw5pdu2b david a clarke jr sheriffclarke december 30 2017he didn t stop therebreaking news when lying lib media makes up fake news to smear me the antidote is go right at them punch them in the nose make them taste their own blood nothing gets a bully like lying lib media s attention better than to give them a taste of their own blood neverbackdown pictwittercomt2ny2pshcr david a clarke jr sheriffclarke december 30 2017the internet called him outthis is your local newspaper and that search warrant isn t fake and just because the chose not to file charges at the time doesn t mean they won t especially if you continue to lie months after decision not to charge clarke email search warrant filed httpstcozcbyc4wp5b keithleblanc keithleblanc63 december 30 2017i just hope the rest of the village people aren t implicated kirk ketchum kirkketchum december 30 2017slaw baked potatoes or french fries pictwittercomfwfxszupxy alt immigration alt_uscis december 30 2017pictwittercomymsobljfxu pendulum swinger pendulumswngr december 30 2017you called your police friends to stand up for you when someone made fun of your hat chris jackson chriscjackson december 30 2017is it me with this masterful pshop of your hat which i seem to never tire of i think it s the steely resolve in your one visible eye pictwittercomdwr5k8zezv chris mohney chrismohney december 30 2017are you indicating with your fingers how many people died in your jail i think you re a few fingers short dipshit ike barinholtz ikebarinholtz december 30 2017rofl internet tough guy with fake flair pictwittercomulcfddhkdy kellmecrazy kel_moonface december 30 2017you re so edgy buddy mrs smh mrssmh2 december 30 2017is his break over at applebees aaron feltrrr2 december 30 2017are you trying to earn your still relevant badge circusrebel circusdrew december 30 2017make sure to hydrate drink lots of water it s rumored that prisoners can be denied water by prison officials robert klinc robertklinc1 december 30 2017terrill thomas the 38yearold black man who died of thirst in clarke s milwaukee county jail cell this april was a victim of homicide we just thought we should point that out it can t be repeated enoughphoto by spencer plattgetty images,News,"December 30, 2017",0
 WATCH: Brand-New Pro-Trump Ad Features So Much A** Kissing It Will Make You Sick,just when you might have thought we d get a break from watching people kiss donald trump s ass and stroke his ego ad nauseam a protrump group creates an ad that s nothing but people doing even more of those exact things america first policies is set to release this ad called thank you president trump on christmas day and well we threw up a little in our mouths trying to watch thisbasically the spot is nothing but people fawning all over trump for all the stuff he hasn t actually done the ad includes a scene with a little girl thanking trump for bringing back merry christmas which never went away there are even videos of president obama saying merry christmas himself a man thanks him for cutting his taxes and america first says that everyday americans everywhere are thanking trump for being such a great and awesome presidentthe best presidentnobody s ever done what he s done he s breaking all kinds of records every daybelieve usanyway the word propaganda comes to mind when watching this that s what it is literal propaganda promoting someone who shouldn t need this kind of promotion anymore watch this ad bullshit belowthe way the magas are kowtowing to orange hitler is both disgusting and frightening the man has done nothing and his policies will harm the very same americans who are thanking him unfortunately it will take an obscene amount of pain before they ll open their eyes and see they ve been duped by a con man with a bad hairdoand his ongoing need for this kind of adoration is at best unbecoming of his office this ad is vilefeatured image via al dragopoolgetty images,News,"December 21, 2017",0
Alabama official to certify Senator-elect Jones today despite challenge: CNN,washington reuters alabama secretary of state john merrill said he will certify democratic senatorelect doug jones as winner on thursday despite opponent roy moores challenge in a phone call on cnn moore a conservative who had faced allegations of groping teenage girls when he was in his 30s filed a court challenge late on wednesday to the outcome of a us senate election he unexpectedly lost,politicsNews,"December 28, 2017 ",1
